"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.569918333E0,2.330593506E1,1.494866409E1,6.186784515E0,2.837085599E1
1.579965333E0,1.796549057E1,8.901239777E0,2.974614258E0,2.026916996E1
1.590012333E0,1.256831406E1,2.965782623E0,-1.221459961E-1,1.291407389E1
1.600059333E0,7.491621094E0,-2.553390198E0,-1.300345917E0,8.020915635E0
1.610106333E0,2.019300842E0,-8.271199951E0,-5.210664368E-1,8.530054792E0
1.620153333E0,-5.404361572E0,-1.425216248E1,1.685494995E-1,1.524334833E1
1.630200333E0,-1.534997955E1,-1.937226517E1,-1.034798126E0,2.473817570E1
1.640246333E0,-2.619837021E1,-2.270882675E1,-2.210603027E0,3.474092946E1
1.650293333E0,-3.333882156E1,-2.529978882E1,-2.385140076E0,4.191950895E1
1.660340333E0,-3.506563065E1,-2.620795029E1,-2.795137482E0,4.386647814E1
1.670387333E0,-3.274156357E1,-2.590123810E1,-1.961371307E0,4.179391220E1
1.680434333E0,-2.528302368E1,-2.407099411E1,-5.260061646E-1,3.491304522E1
1.690481333E0,-1.410666504E1,-2.083292770E1,9.096583557E-1,2.517610680E1
1.700528333E0,-4.554279327E0,-1.724249405E1,1.833387451E0,1.792780998E1
1.710575333E0,1.574425964E0,-1.313997528E1,2.763403473E0,1.351939963E1
1.720622333E0,6.496191101E0,-8.372389526E0,5.630840607E0,1.200015713E1
1.730669333E0,1.453208038E1,-7.828720093E-1,7.718249817E0,1.647317908E1
1.740716333E0,2.542118637E1,9.715696106E0,9.446705475E0,2.880749402E1
1.750763333E0,3.614279068E1,2.095073273E1,1.132799332E1,4.328461566E1
1.760809333E0,4.342903885E1,2.988894562E1,1.143427231E1,5.394601995E1
1.770856333E0,4.463373367E1,3.442271759E1,1.030097900E1,5.729924813E1
1.780903333E0,3.948788452E1,3.466206985E1,8.727900238E0,5.326282337E1
1.790950333E0,3.281356384E1,3.124243103E1,7.029232635E0,4.585007721E1
1.800997333E0,2.854893219E1,2.648412598E1,5.858217773E0,3.937980667E1
1.811044333E0,2.612113083E1,2.184721848E1,4.461023254E0,3.434407022E1
1.821091333E0,2.327809296E1,1.624451935E1,2.517165527E0,2.849719535E1
1.831138333E0,1.817146225E1,9.667196960E0,8.316705322E-1,2.059971877E1
1.841185333E0,1.127724884E1,2.736309814E0,-3.623963928E-1,1.161012765E1
1.851232333E0,4.412823486E0,-3.380719757E0,-4.216731262E-1,5.574951607E0
1.861279333E0,-2.096390533E0,-8.801247711E0,-4.490661621E-1,9.058613302E0
1.871326333E0,-9.292526093E0,-1.378588211E1,-9.289682007E-1,1.665126328E1
1.881373333E0,-1.812026871E1,-1.757585083E1,-2.053878937E0,2.532731903E1
1.891419333E0,-2.587923386E1,-1.926523773E1,-2.378104706E0,3.235026293E1
1.901466333E0,-2.905488007E1,-1.990755203E1,-3.089874573E0,3.535596143E1
1.911513333E0,-2.688154953E1,-1.911016022E1,-5.246589661E0,3.339674583E1
1.921560333E0,-2.284354660E1,-1.715073486E1,-7.038663025E0,2.941968907E1
1.931607333E0,-1.637429947E1,-1.414348846E1,-7.981103210E0,2.306195910E1
1.941654333E0,-7.947722626E0,-9.823771362E0,-5.394781494E0,1.373959410E1
1.951701333E0,9.686357117E-1,-4.975503387E0,7.421566772E-1,5.122956728E0
1.961748333E0,1.037088364E1,1.483265533E0,6.337221680E0,1.224400599E1
1.971795333E0,1.943019470E1,9.862540741E0,9.533225555E0,2.378412423E1
1.981842333E0,2.796290085E1,1.909489197E1,1.065499283E1,3.549743083E1
1.991889333E0,3.520858337E1,2.723780869E1,9.662556610E0,4.555115328E1
2.001936333E0,3.934388397E1,3.264845718E1,7.904612274E0,5.173341143E1
2.011982333E0,3.937367203E1,3.416240891E1,6.257138214E0,5.250245718E1
2.022029333E0,3.610911072E1,3.221765305E1,4.922513580E0,4.864232914E1
2.032076333E0,3.164569244E1,2.810405731E1,3.484753418E0,4.246682698E1
2.042123333E0,2.808684311E1,2.269580383E1,1.986818390E0,3.616514503E1
2.052170333E0,2.425930252E1,1.684522018E1,8.749305725E-1,2.954726223E1
2.062217333E0,1.987746460E1,1.078207855E1,6.719526672E-1,2.262340242E1
2.072264333E0,1.469015167E1,4.253704376E0,1.128503265E0,1.533519079E1
2.082311333E0,7.804320831E0,-1.652114410E0,1.590143280E0,8.134215470E0
2.092358333E0,8.581654358E-1,-7.029082947E0,1.698966980E0,7.282234807E0
2.102405333E0,-7.081923065E0,-1.248553619E1,1.365610199E0,1.441898539E1
2.112452333E0,-1.683369415E1,-1.702993607E1,1.294807434E-1,2.394595470E1
2.122499333E0,-2.615211639E1,-1.966954697E1,-1.247356110E0,3.274721617E1
2.132545333E0,-3.091625931E1,-2.063264420E1,-2.786754913E0,3.727314179E1
2.142592333E0,-3.072780121E1,-2.072350525E1,-5.730233917E0,3.750329342E1
2.152639333E0,-2.828772537E1,-2.020752823E1,-7.669451294E0,3.560000122E1
2.162686333E0,-2.395453629E1,-1.911420181E1,-6.725364532E0,3.137519797E1
2.172733333E0,-1.509131744E1,-1.718606140E1,-5.454507294E0,2.351297979E1
2.182780708E0,-6.392456818E0,-1.469179825E1,-3.780238953E0,1.646215801E1
2.192827708E0,-1.124162292E-1,-1.148741180E1,-1.440454559E0,1.157791763E1
2.202874708E0,5.954467621E0,-7.164251862E0,1.467248840E0,9.430535963E0
2.212921708E0,1.320314392E1,-8.035290527E-1,5.254223785E0,1.423290329E1
2.222968708E0,2.221709930E1,8.439749451E0,7.793992310E0,2.501150112E1
2.233015708E0,3.310201401E1,2.016860916E1,8.378826141E0,3.965754473E1
2.243062708E0,4.300781479E1,3.099559433E1,7.168443146E0,5.349565943E1
2.253108708E0,4.978512131E1,3.850532776E1,3.930825806E0,6.306084333E1
2.263155708E0,5.202401550E1,4.143952606E1,1.025068359E0,6.651904445E1
2.273202708E0,4.876080139E1,3.863106628E1,-1.835632782E0,6.223619993E1
2.283249708E0,4.110976181E1,3.188609253E1,-4.644990692E0,5.223323991E1
2.293296708E0,3.345243530E1,2.333602249E1,-7.197183380E0,4.141780803E1
2.303343708E0,2.753089920E1,1.456186844E1,-7.821085968E0,3.211180171E1
2.313390708E0,2.221395584E1,5.968987427E0,-6.380781097E0,2.387054697E1
2.323437708E0,1.594993195E1,-2.546354828E0,-3.393892365E0,1.650462836E1
2.333484708E0,7.891888733E0,-9.878407745E0,4.125421143E-1,1.265049558E1
2.343531708E0,-5.989045715E-1,-1.642549301E1,4.027674408E0,1.692269684E1
2.353578708E0,-1.062026505E1,-2.210932343E1,6.800508270E0,2.545307692E1
2.363625708E0,-2.286599991E1,-2.758164368E1,7.517666931E0,3.660759943E1
2.373672708E0,-3.700739273E1,-3.301040451E1,5.637127533E0,4.991003035E1
2.383718708E0,-4.946179367E1,-3.573354172E1,2.204166412E0,6.105909749E1
2.393765708E0,-5.332196640E1,-3.599414978E1,1.970202942E0,6.436375237E1
2.403812708E0,-4.723831741E1,-3.583547974E1,5.135370941E0,5.951480719E1
2.413859708E0,-3.355212799E1,-3.485980865E1,7.316485291E0,4.893344980E1
2.423906708E0,-1.526660294E1,-3.182262451E1,6.324348450E0,3.585730022E1
2.433953708E0,4.559668121E0,-2.536595123E1,3.748804321E0,2.604372456E1
2.444000708E0,2.063668579E1,-1.690135345E1,1.726809082E0,2.673032769E1
2.454047708E0,2.951262817E1,-9.828561401E0,1.517843628E0,3.114321259E1
2.464094708E0,3.371349243E1,-4.557871857E0,4.248764648E0,3.428448292E1
2.474141708E0,3.921709763E1,1.911524963E0,7.015012207E0,3.988539921E1
2.484188708E0,4.969620621E1,1.200383789E1,8.301886139E0,5.179504174E1
2.494234708E0,6.244788895E1,2.408970520E1,9.703271942E0,6.763287822E1
2.504281708E0,7.188740936E1,3.448633530E1,1.131152756E1,8.052985535E1
2.514328708E0,7.400236130E1,4.096606064E1,1.235755234E1,8.548261052E1
2.524375708E0,6.871924759E1,4.155029572E1,1.161853912E1,8.114032607E1
2.534422708E0,5.940277130E1,3.686444000E1,9.021140442E0,7.049153956E1
2.544469708E0,5.120716415E1,2.952999207E1,5.561235352E0,5.937273306E1
2.554516708E0,4.308370697E1,2.152628586E1,2.244133301E0,4.821434354E1
2.564563708E0,3.586601624E1,1.410920975E1,-1.098565521E0,3.855707155E1
2.574610708E0,3.141262711E1,7.770491180E0,-2.342628479E0,3.244413018E1
2.584657708E0,2.954106903E1,3.237767029E0,-1.196611633E0,2.974205397E1
2.594704708E0,2.980601807E1,-1.035845947E-1,1.191821594E0,2.983001645E1
2.604751708E0,3.117252640E1,-3.378474426E0,3.567980347E0,3.155742346E1
2.614798708E0,3.170886108E1,-7.748486938E0,6.670428772E0,3.331644550E1
2.624844708E0,3.060026642E1,-1.204919357E1,9.814041595E0,3.432018041E1
2.634891708E0,2.872032578E1,-1.573557770E1,1.181029037E1,3.481305038E1
2.644938708E0,2.664249664E1,-1.837339233E1,1.196985855E1,3.450625577E1
2.654985708E0,2.508169235E1,-2.023192749E1,1.158815231E1,3.424481647E1
2.665032708E0,2.360171997E1,-2.197175949E1,1.161689255E1,3.427464942E1
2.675079708E0,2.027084656E1,-2.427052917E1,1.196446976E1,3.380997402E1
2.685126708E0,1.427042450E1,-2.663306625E1,1.220172638E1,3.258599945E1
2.695173708E0,7.620652771E0,-2.770813065E1,1.137828873E1,3.090760921E1
2.705220708E0,2.169288940E0,-2.774450500E1,9.085356903E0,2.927468330E1
2.715267708E0,-2.534529419E0,-2.703707611E1,6.917115784E0,2.802273746E1
2.725314708E0,-7.347620544E0,-2.758673309E1,4.470753021E0,2.889641852E1
2.735361708E0,-1.423120605E1,-2.856569733E1,1.064735870E0,3.193211474E1
2.745407708E0,-2.193508575E1,-2.964704865E1,-2.781665497E0,3.698422831E1
2.755454708E0,-2.852767639E1,-3.143298477E1,-5.799090729E0,4.284262253E1
2.765501708E0,-3.477403702E1,-3.294244583E1,-6.395151215E0,4.832531787E1
2.775548708E0,-3.943235001E1,-3.491429535E1,-4.718188477E0,5.287891403E1
2.785595708E0,-4.321902557E1,-3.717160126E1,-2.338437195E0,5.705331191E1
2.795642708E0,-4.496544388E1,-3.851550659E1,7.005432129E-2,5.920591439E1
2.805689708E0,-4.243286041E1,-3.921769638E1,1.608255615E0,5.780278400E1
2.815736708E0,-3.433919128E1,-4.022659836E1,1.215771790E0,5.290403930E1
2.825783708E0,-2.403955948E1,-4.130211182E1,2.198927307E-1,4.778925835E1
2.835830708E0,-1.203886505E1,-4.305302078E1,-1.676363983E0,4.473597061E1
2.845876708E0,3.933819580E-1,-4.475273621E1,-3.017125854E0,4.485604971E1
2.855923708E0,1.175595337E1,-4.614903259E1,-3.376079407E0,4.774236652E1
2.865970708E0,2.085583008E1,-4.662174957E1,-3.722309418E0,5.120945976E1
2.876017708E0,2.803011108E1,-4.547782837E1,-4.336781616E0,5.359783275E1
2.886064708E0,3.167727676E1,-4.383858719E1,-4.472998352E0,5.427042753E1
2.896111708E0,3.176379684E1,-4.291066681E1,-3.279230804E0,5.348847979E1
2.906158708E0,3.194042953E1,-4.157304840E1,-1.136436768E0,5.243854385E1
2.916205708E0,3.634427170E1,-3.850068741E1,1.735341339E0,5.297377111E1
2.926252708E0,4.208633102E1,-3.253169998E1,5.050647125E0,5.343294676E1
2.936299708E0,4.483192154E1,-2.491868134E1,4.991819458E0,5.153406766E1
2.946346708E0,4.345792877E1,-1.884551056E1,3.146756287E0,4.747259121E1
2.956393708E0,4.131049438E1,-1.569261703E1,4.818330231E0,4.445257565E1
2.966439708E0,3.938205460E1,-1.341255844E1,8.133486328E0,4.239099607E1
2.976486708E0,3.844679947E1,-9.934241638E0,1.134146530E1,4.129738952E1
2.986533708E0,4.179773117E1,-5.019661560E0,1.575309128E1,4.494894012E1
2.996580708E0,4.831966873E1,2.174228668E0,1.964739304E1,5.220668262E1
3.006627708E0,5.358032913E1,1.065289719E1,2.127286285E1,5.862482906E1
3.016674708E0,5.481855423E1,1.658940216E1,2.078128510E1,6.092736628E1
3.026721708E0,5.002088104E1,1.929757050E1,1.704550369E1,5.625863457E1
3.036768708E0,4.209740799E1,2.008223877E1,1.092188782E1,4.790381725E1
3.046815708E0,3.640115341E1,2.155352921E1,7.189848633E0,4.291028448E1
3.056862708E0,3.533641754E1,2.422682007E1,8.285420380E0,4.363770624E1
3.066909708E0,3.815969650E1,2.512525177E1,1.206071960E1,4.725358898E1
3.076956708E0,4.227044815E1,2.311493225E1,1.625140503E1,5.084485269E1
3.087002708E0,4.458104324E1,1.940190353E1,1.861948059E1,5.206331083E1
3.097049708E0,4.437956223E1,1.590592346E1,1.812999847E1,5.050980884E1
3.107096708E0,4.347050262E1,1.381162857E1,1.647833313E1,4.849722822E1
3.117143708E0,4.337230682E1,1.202554276E1,1.550176392E1,4.760331251E1
3.127190708E0,4.402435089E1,9.857750702E0,1.489627304E1,4.751018492E1
3.137237708E0,4.433705063E1,6.985373840E0,1.420171738E1,4.707715245E1
3.147284708E0,4.288387253E1,4.291276245E0,1.474254272E1,4.554979847E1
3.157331708E0,4.024815353E1,2.013762360E0,1.689072556E1,4.369514517E1
3.167378708E0,3.784041046E1,2.974314880E-1,1.923080933E1,4.244772263E1
3.177425708E0,3.641776886E1,-6.580316162E-1,2.049193680E1,4.179241998E1
3.187471875E0,3.486983780E1,-1.356329498E0,2.016696259E1,4.030448607E1
3.197518875E0,3.226450562E1,-2.285896454E0,1.840826981E1,3.721677098E1
3.207564875E0,2.983610550E1,-3.702849884E0,1.618718857E1,3.414570782E1
3.217611875E0,2.851076157E1,-5.360802155E0,1.446546890E1,3.241684000E1
3.227658875E0,2.711192047E1,-7.389533386E0,1.320224579E1,3.104771697E1
3.237705875E0,2.566068832E1,-9.637408905E0,1.198722244E1,2.991728727E1
3.247752875E0,2.432830902E1,-1.187136337E1,1.155537048E1,2.943335651E1
3.257799875E0,2.324965210E1,-1.413390839E1,1.098760117E1,2.934350130E1
3.267846875E0,2.258278885E1,-1.590053467E1,9.624385986E0,2.924787446E1
3.277893875E0,2.258039383E1,-1.681947372E1,8.401878204E0,2.938299575E1
3.287940875E0,2.246603165E1,-1.730656082E1,7.544610901E0,2.934554104E1
3.297987875E0,2.199885315E1,-1.777418839E1,6.904841309E0,2.911268016E1
3.308034875E0,2.112781448E1,-1.836950043E1,6.530918884E0,2.874849548E1
3.318080875E0,1.982522324E1,-1.848999985E1,6.365812225E0,2.784677963E1
3.328127875E0,1.813643509E1,-1.899954025E1,5.806275787E0,2.690029082E1
